                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5164,                0.79255,                0.95613,                0.93836,                 0.8978,                0.94878,                 0.5148,                 1.5846,                0.78958,                0.95194,              0.0007822,              0.0007822,              0.0007822
                     36,                 1.5036,                0.78356,                 0.9573,                0.96507,                0.92553,                0.95797,                0.50852,                 1.5595,                  0.781,                 0.9527,              0.0007756,              0.0007756,              0.0007756
                     37,                 1.4802,                0.78316,                0.94768,                0.95796,                0.92479,                0.95638,                0.48846,                 1.6524,                0.76727,                0.97085,               0.000769,               0.000769,               0.000769
                     38,                 1.4829,                0.76043,                0.94684,                0.96164,                0.91433,                0.94885,                0.49357,                 1.5842,                0.75049,                0.95677,              0.0007624,              0.0007624,              0.0007624
                     39,                 1.4764,                0.76345,                0.94852,                0.94587,                0.93068,                 0.9595,                0.52311,                  1.551,                0.71968,                0.95136,              0.0007558,              0.0007558,              0.0007558
                     40,                 1.4655,                 0.7523,                0.93742,                0.96414,                0.91572,                0.94812,                 0.5089,                 1.5661,                 0.7558,                0.95714,              0.0007492,              0.0007492,              0.0007492
                     41,                 1.5001,                 0.7574,                0.94685,                0.96972,                0.93913,                0.95993,                 0.5259,                  1.604,                0.76709,                0.96142,              0.0007426,              0.0007426,              0.0007426
                     42,                 1.4459,                0.75279,                0.93822,                0.96685,                0.92362,                0.96581,                0.53386,                 1.5437,                 0.7303,                 0.9504,               0.000736,               0.000736,               0.000736
                     43,                 1.4629,                0.74102,                0.93403,                0.93575,                0.93613,                 0.9568,                0.50207,                 1.5852,                 0.7528,                0.96207,              0.0007294,              0.0007294,              0.0007294
                     44,                 1.4625,                0.74931,                0.93093,                 0.9775,                0.91475,                0.95416,                0.51235,                 1.5992,                0.77284,                0.96233,              0.0007228,              0.0007228,              0.0007228
                     45,                 1.4284,                0.73592,                0.93664,                0.96684,                0.91888,                0.95147,                0.51834,                 1.5753,                0.76547,                0.95363,              0.0007162,              0.0007162,              0.0007162
                     46,                 1.4398,                0.73084,                0.94332,                0.97436,                0.92957,                0.95756,                0.51982,                 1.5652,                0.73238,                0.95637,              0.0007096,              0.0007096,              0.0007096
                     47,                 1.4171,                0.72177,                0.93176,                0.97605,                0.92195,                0.96259,                0.52171,                 1.5806,                0.72522,                0.95912,               0.000703,               0.000703,               0.000703
                     48,                 1.3919,                0.70863,                0.92162,                0.94929,                 0.8979,                0.94807,                0.51439,                 1.5741,                0.73012,                0.95957,              0.0006964,              0.0006964,              0.0006964
                     49,                 1.4137,                0.72622,                0.92586,                0.96196,                0.92493,                0.95617,                0.52355,                 1.5773,                0.75324,                0.95864,              0.0006898,              0.0006898,              0.0006898
                     50,                 1.4182,                0.71783,                0.93354,                0.97543,                0.93916,                0.96109,                0.50975,                 1.5668,                0.71586,                0.95294,              0.0006832,              0.0006832,              0.0006832
                     51,                 1.4122,                0.71026,                0.92348,                0.96101,                0.91317,                0.94716,                 0.5049,                 1.5917,                0.73946,                0.95794,              0.0006766,              0.0006766,              0.0006766
                     52,                 1.3637,                0.68027,                0.91907,                0.95377,                 0.9295,                0.95802,                0.51144,                 1.5938,                0.70387,                0.95895,                0.00067,                0.00067,                0.00067
                     53,                 1.3831,                0.69272,                0.93339,                 0.9581,                0.92789,                0.95873,                0.52673,                 1.5749,                0.73107,                0.95492,              0.0006634,              0.0006634,              0.0006634
                     54,                 1.4019,                0.69939,                 0.9243,                0.95262,                0.94155,                0.95928,                0.51835,                 1.5826,                0.73058,                0.95578,              0.0006568,              0.0006568,              0.0006568
                     55,                 1.3809,                 0.6884,                0.92183,                0.93303,                0.93509,                0.95949,                 0.5182,                 1.5777,                0.72981,                0.95383,              0.0006502,              0.0006502,              0.0006502
                     56,                 1.3693,                0.67994,                0.91424,                0.97679,                0.93845,                0.96381,                0.53383,                 1.5542,                0.71555,                0.94776,              0.0006436,              0.0006436,              0.0006436
                     57,                 1.3384,                0.67121,                0.91081,                0.96168,                0.92852,                0.95944,                0.52642,                 1.5756,                0.69982,                0.95202,               0.000637,               0.000637,               0.000637
                     58,                 1.3387,                0.67467,                0.91927,                0.96707,                0.92072,                 0.9544,                0.52455,                 1.5855,                0.71467,                0.95243,              0.0006304,              0.0006304,              0.0006304
                     59,                 1.3135,                0.67339,                0.91568,                0.96877,                0.92091,                0.95958,                0.51949,                 1.5604,                0.73184,                0.95417,              0.0006238,              0.0006238,              0.0006238
                     60,                 1.3445,                0.67767,                0.90521,                0.95815,                0.91886,                0.95246,                0.52982,                 1.5408,                0.70466,                0.94993,              0.0006172,              0.0006172,              0.0006172
                     61,                 1.2925,                0.64822,                0.90837,                0.95984,                0.93739,                0.95797,                0.51431,                 1.5986,                0.70325,                0.95531,              0.0006106,              0.0006106,              0.0006106
                     62,                 1.2947,                0.65106,                0.90608,                0.96209,                 0.9347,                0.95241,                0.50981,                  1.567,                0.69264,                0.95455,               0.000604,               0.000604,               0.000604
                     63,                 1.3225,                 0.6777,                0.90774,                0.95688,                 0.9413,                0.95693,                0.52371,                  1.587,                0.72072,                 0.9543,              0.0005974,              0.0005974,              0.0005974
                     64,                 1.3086,                0.64116,                0.90706,                0.96315,                0.93935,                0.95687,                0.52818,                 1.5909,                 0.6951,                0.95582,              0.0005908,              0.0005908,              0.0005908
                     65,                 1.2823,                0.64609,                0.90746,                0.96326,                0.93185,                0.95345,                0.52341,                  1.594,                  0.683,                0.95707,              0.0005842,              0.0005842,              0.0005842
                     66,                 1.2714,                 0.6452,                0.89624,                0.97486,                0.92278,                0.95286,                0.51854,                 1.5779,                 0.6908,                0.95578,              0.0005776,              0.0005776,              0.0005776
                     67,                 1.2821,                0.63372,                 0.9041,                0.96289,                0.92638,                0.95582,                0.52323,                 1.5434,                0.69042,                 0.9523,               0.000571,               0.000571,               0.000571
                     68,                 1.2835,                0.63583,                0.90213,                0.96869,                0.91785,                0.95714,                 0.5162,                  1.564,                0.68926,                0.95436,              0.0005644,              0.0005644,              0.0005644
                     69,                 1.2455,                0.61504,                0.90193,                0.96826,                0.93841,                0.95895,                0.50977,                 1.5763,                0.66481,                0.96119,              0.0005578,              0.0005578,              0.0005578
                     70,                 1.2957,                0.62689,                0.89833,                0.97237,                 0.9265,                0.95811,                0.52558,                 1.5655,                0.65729,                0.95342,              0.0005512,              0.0005512,              0.0005512
                     71,                 1.2533,                0.63066,                0.90047,                 0.9693,                0.93506,                0.96034,                0.50637,                 1.5853,                0.66994,                 0.9585,              0.0005446,              0.0005446,              0.0005446
                     72,                 1.2385,                0.61057,                0.90246,                0.96278,                0.92764,                0.95644,                0.51816,                 1.5805,                0.69472,                0.95988,               0.000538,               0.000538,               0.000538
                     73,                 1.2372,                0.61825,                0.89599,                0.97154,                0.94017,                0.96039,                0.52366,                 1.5953,                0.69045,                  0.959,              0.0005314,              0.0005314,              0.0005314
                     74,                 1.2317,                0.61957,                0.89134,                0.95952,                0.93718,                0.95999,                0.53204,                 1.5757,                0.72078,                0.95362,              0.0005248,              0.0005248,              0.0005248
                     75,                 1.2241,                0.59709,                0.88976,                0.97065,                0.92979,                0.95535,                0.52459,                  1.581,                0.67072,                0.95944,              0.0005182,              0.0005182,              0.0005182
                     76,                 1.2354,                0.60371,                0.89318,                0.97129,                0.93946,                0.95715,                0.53617,                 1.5441,                0.66485,                0.95314,              0.0005116,              0.0005116,              0.0005116
                     77,                 1.2198,                0.60153,                0.89006,                0.95804,                0.93666,                0.95754,                0.53287,                 1.5645,                0.66603,                0.95663,               0.000505,               0.000505,               0.000505
                     78,                 1.2254,                0.60781,                0.89077,                0.97326,                0.93878,                0.96468,                0.53828,                 1.5953,                0.65952,                0.96338,              0.0004984,              0.0004984,              0.0004984
                     79,                 1.2209,                0.60928,                0.88754,                 0.9715,                0.94312,                 0.9635,                0.52377,                 1.5841,                0.66299,                0.96164,              0.0004918,              0.0004918,              0.0004918
                     80,                 1.1943,                0.59339,                0.88012,                 0.9616,                0.93125,                 0.9588,                0.52926,                 1.5713,                0.64932,                0.95855,              0.0004852,              0.0004852,              0.0004852
                     81,                 1.1959,                0.59976,                0.88707,                0.97101,                 0.9389,                0.96701,                0.53885,                 1.5244,                0.64929,                0.94816,              0.0004786,              0.0004786,              0.0004786
                     82,                  1.198,                0.58579,                0.88084,                0.97149,                0.94087,                0.96136,                0.54274,                 1.5321,                0.65598,                0.94495,               0.000472,               0.000472,               0.000472
                     83,                 1.1952,                0.58993,                0.88506,                 0.9748,                0.93063,                0.96514,                0.53151,                 1.5324,                0.64815,                0.94916,              0.0004654,              0.0004654,              0.0004654
                     84,                 1.1964,                0.57879,                0.87717,                0.96986,                0.94409,                0.96114,                0.53797,                 1.5386,                0.64265,                 0.9512,              0.0004588,              0.0004588,              0.0004588
                     85,                 1.1676,                0.57787,                0.87693,                 0.9724,                0.94077,                0.96416,                 0.5396,                 1.5453,                0.65555,                0.94965,              0.0004522,              0.0004522,              0.0004522
                     86,                 1.1794,                0.58454,                0.87966,                0.96672,                0.94761,                0.97081,                0.54133,                 1.5645,                0.65469,                0.95254,              0.0004456,              0.0004456,              0.0004456
                     87,                 1.1397,                0.56828,                 0.8681,                0.97142,                0.95051,                0.96655,                0.52946,                 1.5512,                0.64065,                0.95603,               0.000439,               0.000439,               0.000439
                     88,                 1.1572,                0.56754,                0.87312,                0.96807,                0.93725,                0.96211,                0.53738,                 1.5544,                0.64045,                0.95845,              0.0004324,              0.0004324,              0.0004324
                     89,                  1.155,                0.57226,                0.87458,                0.97175,                0.94142,                0.96085,                0.54452,                 1.5432,                0.64476,                0.95428,              0.0004258,              0.0004258,              0.0004258
                     90,                 1.1547,                0.56982,                0.87769,                0.96546,                0.93655,                0.96608,                0.54256,                 1.5511,                0.63405,                0.95779,              0.0004192,              0.0004192,              0.0004192
                     91,                 1.1358,                0.55593,                 0.8728,                0.95574,                0.93782,                 0.9635,                0.53566,                 1.5776,                0.65058,                0.96259,              0.0004126,              0.0004126,              0.0004126
                     92,                 1.1257,                0.57205,                0.87422,                0.97517,                0.93649,                0.97012,                  0.537,                 1.5748,                0.65062,                0.96073,               0.000406,               0.000406,               0.000406
                     93,                  1.148,                0.55965,                0.87027,                0.96909,                0.94743,                0.96902,                0.53589,                 1.5524,                0.62423,                 0.9585,              0.0003994,              0.0003994,              0.0003994
                     94,                 1.1745,                0.57383,                0.87362,                0.96902,                0.94921,                0.96905,                0.53267,                 1.5472,                0.63066,                0.95495,              0.0003928,              0.0003928,              0.0003928
                     95,                 1.1243,                0.55222,                0.86655,                 0.9634,                0.95701,                0.96796,                 0.5448,                 1.5463,                0.62384,                0.95698,              0.0003862,              0.0003862,              0.0003862
                     96,                  1.095,                0.54629,                0.86683,                0.95929,                0.95187,                0.97151,                0.54481,                 1.5697,                0.63464,                0.95907,              0.0003796,              0.0003796,              0.0003796
                     97,                 1.0881,                0.53398,                0.86326,                0.96166,                  0.946,                 0.9725,                0.55794,                 1.5295,                0.62445,                  0.953,               0.000373,               0.000373,               0.000373
                     98,                  1.087,                0.54021,                 0.8652,                0.96014,                0.93775,                0.96713,                0.54259,                 1.5554,                0.62975,                0.95766,              0.0003664,              0.0003664,              0.0003664
                     99,                 1.0814,                0.54055,                0.86259,                0.95942,                0.93797,                0.96366,                0.53742,                 1.5422,                0.61604,                 0.9557,              0.0003598,              0.0003598,              0.0003598
                    100,                 1.0714,                0.53124,                 0.8684,                0.97529,                0.92531,                0.96746,                 0.5299,                 1.5667,                0.61675,                0.96303,              0.0003532,              0.0003532,              0.0003532
                    101,                 1.0936,                  0.546,                0.85894,                0.96238,                0.95509,                 0.9687,                0.53779,                 1.5327,                0.61677,                0.95649,              0.0003466,              0.0003466,              0.0003466
                    102,                  1.045,                0.52406,                0.85925,                0.96059,                0.95177,                0.97025,                0.54668,                 1.5471,                0.61295,                0.95882,                0.00034,                0.00034,                0.00034
                    103,                 1.0757,                0.53284,                0.87566,                0.96637,                 0.9517,                0.97394,                0.54898,                 1.5509,                0.62509,                0.96002,              0.0003334,              0.0003334,              0.0003334
                    104,                 1.0865,                0.54789,                0.86412,                0.96509,                 0.9376,                0.96802,                0.54023,                 1.5632,                0.62172,                0.96136,              0.0003268,              0.0003268,              0.0003268
                    105,                 1.0563,                0.52475,                 0.8631,                0.96783,                0.95701,                0.96931,                 0.5505,                 1.5533,                0.61228,                0.96232,              0.0003202,              0.0003202,              0.0003202
                    106,                 1.0575,                0.52775,                0.85834,                0.95676,                0.94541,                0.96529,                0.54474,                 1.5491,                0.62251,                  0.959,              0.0003136,              0.0003136,              0.0003136
                    107,                 1.0574,                0.53199,                0.86209,                0.96061,                0.94643,                0.97112,                0.54025,                 1.5553,                0.61872,                0.96082,               0.000307,               0.000307,               0.000307
                    108,                 1.0416,                0.52093,                0.85221,                0.96892,                0.95173,                0.97601,                0.55603,                 1.5169,                0.60413,                0.94994,              0.0003004,              0.0003004,              0.0003004
                    109,                 1.0183,                0.51502,                0.85361,                0.96883,                0.95604,                0.97257,                0.55694,                 1.5263,                0.59561,                0.95304,              0.0002938,              0.0002938,              0.0002938
                    110,                 1.0313,                0.51045,                0.86144,                0.97352,                 0.9484,                0.97186,                0.55168,                 1.5387,                0.60251,                0.95841,              0.0002872,              0.0002872,              0.0002872
                    111,                 1.0285,                0.51249,                0.85977,                0.96879,                0.95418,                  0.973,                0.55608,                 1.5333,                0.60602,                0.95443,              0.0002806,              0.0002806,              0.0002806
                    112,                 1.0128,                0.50525,                0.85543,                0.97655,                0.93132,                0.97184,                0.54511,                 1.5405,                0.61042,                 0.9605,               0.000274,               0.000274,               0.000274
                    113,                  1.028,                0.52204,                0.85368,                 0.9744,                0.94371,                0.96889,                0.54456,                 1.5401,                0.60911,                0.95462,              0.0002674,              0.0002674,              0.0002674
                    114,                 1.0028,                0.50033,                0.85394,                 0.9697,                0.94153,                0.97023,                 0.5425,                 1.5261,                0.59971,                0.95867,              0.0002608,              0.0002608,              0.0002608
                    115,                 1.0153,                0.50247,                0.84593,                0.98011,                0.91427,                0.96856,                0.54159,                  1.529,                0.62133,                0.95785,              0.0002542,              0.0002542,              0.0002542
                    116,                 1.0148,                0.50428,                0.84922,                0.97573,                0.94736,                0.97386,                0.55292,                 1.5374,                0.60725,                0.95918,              0.0002476,              0.0002476,              0.0002476
                    117,                0.99223,                 0.4962,                0.85932,                0.96919,                 0.9597,                0.97363,                  0.558,                 1.5455,                0.61532,                0.95795,               0.000241,               0.000241,               0.000241
                    118,                0.98435,                0.49664,                0.85215,                0.96842,                0.95286,                0.97149,                0.56172,                 1.5312,                0.61268,                0.95721,              0.0002344,              0.0002344,              0.0002344
                    119,                0.97062,                0.49813,                0.83992,                0.97065,                0.94543,                0.96841,                0.55747,                 1.5501,                0.61151,                0.95832,              0.0002278,              0.0002278,              0.0002278
                    120,                0.99463,                0.49733,                0.84841,                0.97268,                0.94622,                 0.9695,                0.54866,                  1.533,                0.59475,                0.95961,              0.0002212,              0.0002212,              0.0002212
                    121,                0.96836,                0.48318,                0.84705,                0.96572,                0.95474,                0.97116,                0.55033,                 1.5465,                0.60696,                0.96529,              0.0002146,              0.0002146,              0.0002146
                    122,                0.98356,                 0.4945,                0.84997,                0.96648,                0.95243,                0.96982,                0.54996,                 1.5471,                0.60551,                0.96489,               0.000208,               0.000208,               0.000208
                    123,                0.93963,                0.47889,                0.83774,                0.96953,                0.96186,                0.97218,                0.54778,                 1.5432,                0.60033,                0.96242,              0.0002014,              0.0002014,              0.0002014
                    124,                0.97299,                0.48977,                0.84783,                0.96562,                0.94676,                0.96928,                0.54796,                 1.5273,                0.59885,                0.95749,              0.0001948,              0.0001948,              0.0001948
